255,0,0,red
61,13,3,red
254,0,2,red
254,0,0,red
206,0,25,red
209,23,23,red
204,22,0,red
220,0,3,red
139,0,0,red
174,32,26,red
128,24,24,red
255,255,0,yellow
255,242,39,yellow
255,215,12,yellow
252,234,4,yellow
254,242,0,yellow
247,224,23,yellow
255,183,9,yellow
255,255,0,yellow
255,166,0,yellow
249,217,94,yellow
246,191,39,yellow
127,0,255,violet
159,0,255,violet
130,0,220,violet
127,0,255,violet
145,0,255,violet
145,0,255,violet
148,0,210,violet
127,0,255,violet
145,0,255,violet
125,0,240,violet
148,0,211,violet
0,150,255,blue
3,91,188,blue
0,0,154,blue
0,0,255,blue
0,48,143,blue
1,119,193,blue
255,95,31,orange
255,128,0,orange
255,103,0,orange
255,122,1,orange
255,102,0,orange
254,101,33,orange
255,153,0,orange
252,79,19,orange
255,127,0,orange
255,0,0,red
61,13,3,red
254,0,2,red
254,0,0,red
206,0,25,red
209,23,23,red
204,22,0,red
220,0,3,red
139,0,0,red
174,32,26,red
128,24,24,red
255,255,0,yellow
255,242,39,yellow
255,215,12,yellow
252,234,4,yellow
254,242,0,yellow
247,224,23,yellow
255,183,9,yellow
255,255,0,yellow
255,166,0,yellow
249,217,94,yellow
246,191,39,yellow
127,0,255,violet
159,0,255,violet
130,0,220,violet
127,0,255,violet
145,0,255,violet
145,0,255,violet
148,0,210,violet
127,0,255,violet
145,0,255,violet
125,0,240,violet
148,0,211,violet
0,150,255,blue
3,91,188,blue
0,0,154,blue
0,0,255,blue
0,48,143,blue
1,119,193,blue
255,95,31,orange
255,128,0,orange
255,103,0,orange
255,122,1,orange
255,102,0,orange
254,101,33,orange
255,153,0,orange
252,79,19,orange
255,127,0,orange
255,0,0,red
61,13,3,red
254,0,2,red
254,0,0,red
206,0,25,red
209,23,23,red
204,22,0,red
220,0,3,red
139,0,0,red
174,32,26,red
128,24,24,red
255,255,0,yellow
255,242,39,yellow
255,215,12,yellow
252,234,4,yellow
254,242,0,yellow
247,224,23,yellow
255,183,9,yellow
255,255,0,yellow
255,166,0,yellow
249,217,94,yellow
246,191,39,yellow
127,0,255,violet
159,0,255,violet
130,0,220,violet
127,0,255,violet
145,0,255,violet
145,0,255,violet
148,0,210,violet
127,0,255,violet
145,0,255,violet
125,0,240,violet
148,0,211,violet
0,150,255,blue
3,91,188,blue
0,0,154,blue
0,0,255,blue
0,48,143,blue
1,119,193,blue
255,95,31,orange
255,128,0,orange
255,103,0,orange
255,122,1,orange
255,102,0,orange
254,101,33,orange
255,153,0,orange
252,79,19,orange
255,127,0,orange
